id,x,y,z,side,classification,synthetic,coordinate_unit
P0423,-1.2,-2.468,-0.252,port,sample,true,fictional_unit
P0424,-1.19,2.479,-0.262,starboard,sample,true,fictional_unit
P0425,-1.186,-2.467,-0.004,port,sample,true,fictional_unit
P0426,-1.2,2.471,-0.009,starboard,sample,true,fictional_unit
P0427,-1.196,-2.442,0.274,port,sample,true,fictional_unit
P0428,-1.201,2.443,0.263,starboard,sample,true,fictional_unit
P0429,-1.191,-2.408,0.527,port,sample,true,fictional_unit
P0430,-1.2,2.394,0.517,starboard,sample,true,fictional_unit
P0431,-1.214,-2.334,0.787,port,sample,true,fictional_unit
P0432,-1.198,2.335,0.78,starboard,sample,true,fictional_unit
P0433,-1.197,-2.229,1.051,port,sample,true,fictional_unit
P0434,-1.187,2.232,1.06,starboard,sample,true,fictional_unit
P0435,-1.2,-2.091,1.303,port,sample,true,fictional_unit
P0436,-1.207,2.097,1.31,starboard,sample,true,fictional_unit
P0437,-1.197,-1.921,1.577,port,sample,true,fictional_unit
P0438,-1.19,1.917,1.567,starboard,sample,true,fictional_unit
P0439,-1.198,-1.7,1.832,port,sample,true,fictional_unit
P0440,-1.193,1.705,1.827,starboard,sample,true,fictional_unit
P0441,-1.198,-1.403,2.096,port,sample,true,fictional_unit
P0442,-1.205,1.411,2.102,starboard,sample,true,fictional_unit
P0443,-0.804,-1.699,-2.109,port,sample,true,fictional_unit
P0444,-0.799,1.706,-2.108,starboard,sample,true,fictional_unit
P0445,-0.802,-1.934,-1.826,port,sample,true,fictional_unit
P0446,-0.792,1.92,-1.83,starboard,sample,true,fictional_unit
P0447,-0.813,-2.109,-1.575,port,sample,true,fictional_unit
P0448,-0.795,2.115,-1.565,starboard,sample,true,fictional_unit
P0449,-0.791,-2.241,-1.319,port,sample,true,fictional_unit
P0450,-0.802,2.237,-1.304,starboard,sample,true,fictional_unit
P0451,-0.793,-2.355,-1.04,port,sample,true,fictional_unit
P0452,-0.811,2.345,-1.049,starboard,sample,true,fictional_unit
P0453,-0.793,-2.429,-0.794,port,sample,true,fictional_unit
P0454,-0.8,2.432,-0.792,starboard,sample,true,fictional_unit
P0455,-0.799,-2.467,-0.534,port,sample,true,fictional_unit
P0456,-0.788,2.479,-0.528,starboard,sample,true,fictional_unit
P0457,-0.807,-2.502,-0.263,port,sample,true,fictional_unit
P0458,-0.796,2.489,-0.27,starboard,sample,true,fictional_unit
P0459,-0.807,-2.49,-0.005,port,sample,true,fictional_unit
P0460,-0.798,2.49,0,starboard,sample,true,fictional_unit
P0461,-0.796,-2.478,0.265,port,sample,true,fictional_unit
P0462,-0.791,2.48,0.26,starboard,sample,true,fictional_unit
P0463,-0.798,-2.42,0.524,port,sample,true,fictional_unit
P0464,-0.788,2.421,0.532,starboard,sample,true,fictional_unit
P0465,-0.81,-2.36,0.781,port,sample,true,fictional_unit
P0466,-0.787,2.347,0.777,starboard,sample,true,fictional_unit
P0467,-0.809,-2.255,1.058,port,sample,true,fictional_unit
P0468,-0.814,2.257,1.043,starboard,sample,true,fictional_unit
P0469,-0.802,-2.109,1.302,port,sample,true,fictional_unit
P0470,-0.796,2.124,1.305,starboard,sample,true,fictional_unit
P0471,-0.806,-1.943,1.575,port,sample,true,fictional_unit
P0472,-0.808,1.939,1.582,starboard,sample,true,fictional_unit
P0473,-0.808,-1.724,1.843,port,sample,true,fictional_unit
P0474,-0.797,1.729,1.832,starboard,sample,true,fictional_unit
P0475,-0.796,-1.42,2.092,port,sample,true,fictional_unit
P0476,-0.809,1.424,2.11,starboard,sample,true,fictional_unit
P0477,-0.392,-1.701,-2.11,port,sample,true,fictional_unit
P0478,-0.389,1.708,-2.099,starboard,sample,true,fictional_unit
P0479,-0.403,-1.94,-1.834,port,sample,true,fictional_unit
P0480,-0.407,1.95,-1.834,starboard,sample,true,fictional_unit
P0481,-0.407,-2.123,-1.572,port,sample,true,fictional_unit
P0482,-0.39,2.119,-1.57,starboard,sample,true,fictional_unit
P0483,-0.387,-2.255,-1.301,port,sample,true,fictional_unit
P0484,-0.396,2.261,-1.304,starboard,sample,true,fictional_unit
P0485,-0.409,-2.362,-1.042,port,sample,true,fictional_unit
P0486,-0.4,2.354,-1.055,starboard,sample,true,fictional_unit
P0487,-0.388,-2.444,-0.796,port,sample,true,fictional_unit
P0488,-0.414,2.441,-0.798,starboard,sample,true,fictional_unit
P0489,-0.405,-2.477,-0.52,port,sample,true,fictional_unit
P0490,-0.41,2.479,-0.53,starboard,sample,true,fictional_unit
P0491,-0.41,-2.507,-0.274,port,sample,true,fictional_unit
P0492,-0.398,2.508,-0.265,starboard,sample,true,fictional_unit
P0493,-0.396,-2.504,-0.007,port,sample,true,fictional_unit
P0494,-0.391,2.518,0.003,starboard,sample,true,fictional_unit
P0495,-0.396,-2.494,0.265,port,sample,true,fictional_unit
P0496,-0.408,2.483,0.264,starboard,sample,true,fictional_unit
P0497,-0.41,-2.442,0.537,port,sample,true,fictional_unit
P0498,-0.39,2.438,0.516,starboard,sample,true,fictional_unit
P0499,-0.396,-2.371,0.791,port,sample,true,fictional_unit
P0500,-0.405,2.376,0.799,starboard,sample,true,fictional_unit
P0501,-0.387,-2.271,1.059,port,sample,true,fictional_unit
P0502,-0.403,2.27,1.059,starboard,sample,true,fictional_unit
P0503,-0.403,-2.133,1.316,port,sample,true,fictional_unit
P0504,-0.413,2.126,1.317,starboard,sample,true,fictional_unit
P0505,-0.404,-1.962,1.579,port,sample,true,fictional_unit
P0506,-0.388,1.956,1.565,starboard,sample,true,fictional_unit
P0507,-0.389,-1.725,1.835,port,sample,true,fictional_unit
P0508,-0.389,1.732,1.834,starboard,sample,true,fictional_unit
P0509,-0.407,-1.422,2.112,port,sample,true,fictional_unit
P0510,-0.406,1.427,2.11,starboard,sample,true,fictional_unit
P0511,-0.001,-1.72,-2.102,port,sample,true,fictional_unit
P0512,-0.009,1.721,-2.105,starboard,sample,true,fictional_unit
P0513,-0.004,-1.944,-1.836,port,sample,true,fictional_unit
P0514,-0.009,1.936,-1.828,starboard,sample,true,fictional_unit
P0515,-0.011,-2.132,-1.576,port,sample,true,fictional_unit
P0516,-0.013,2.114,-1.579,starboard,sample,true,fictional_unit
P0517,-0.004,-2.27,-1.309,port,sample,true,fictional_unit
P0518,0.013,2.263,-1.314,starboard,sample,true,fictional_unit
P0519,0.006,-2.363,-1.041,port,sample,true,fictional_unit
P0520,0.007,2.359,-1.04,starboard,sample,true,fictional_unit
P0521,-0.009,-2.441,-0.784,port,sample,true,fictional_unit
P0522,0.003,2.439,-0.776,starboard,sample,true,fictional_unit
P0523,0.008,-2.497,-0.514,port,sample,true,fictional_unit
P0524,-0.01,2.497,-0.521,starboard,sample,true,fictional_unit
P0525,-0.001,-2.519,-0.26,port,sample,true,fictional_unit
P0526,-0.004,2.526,-0.27,starboard,sample,true,fictional_unit
P0527,-0.004,-2.514,0.008,port,sample,true,fictional_unit
P0528,0.008,2.52,-0.007,starboard,sample,true,fictional_unit
P0529,0.008,-2.488,0.263,port,sample,true,fictional_unit
P0530,0.009,2.503,0.265,starboard,sample,true,fictional_unit
P0531,0.005,-2.44,0.536,port,sample,true,fictional_unit
P0532,0.013,2.446,0.518,starboard,sample,true,fictional_unit
P0533,0,-2.367,0.776,port,sample,true,fictional_unit
P0534,-0.001,2.382,0.794,starboard,sample,true,fictional_unit
P0535,-0.01,-2.263,1.054,port,sample,true,fictional_unit
P0536,0,2.269,1.051,starboard,sample,true,fictional_unit
P0537,0.014,-2.142,1.303,port,sample,true,fictional_unit
P0538,-0.013,2.13,1.321,starboard,sample,true,fictional_unit
P0539,-0.005,-1.957,1.58,port,sample,true,fictional_unit
P0540,0.008,1.963,1.578,starboard,sample,true,fictional_unit
P0541,0.011,-1.738,1.827,port,sample,true,fictional_unit
P0542,-0.002,1.733,1.839,starboard,sample,true,fictional_unit
P0543,-0.009,-1.438,2.11,port,sample,true,fictional_unit
P0544,-0.005,1.438,2.101,starboard,sample,true,fictional_unit
P0545,0.413,-1.706,-2.09,port,sample,true,fictional_unit
P0546,0.401,1.71,-2.091,starboard,sample,true,fictional_unit
P0547,0.388,-1.947,-1.848,port,sample,true,fictional_unit
P0548,0.389,1.945,-1.833,starboard,sample,true,fictional_unit
P0549,0.398,-2.116,-1.587,port,sample,true,fictional_unit
P0550,0.388,2.123,-1.581,starboard,sample,true,fictional_unit
P0551,0.396,-2.261,-1.322,port,sample,true,fictional_unit
P0552,0.41,2.264,-1.318,starboard,sample,true,fictional_unit
P0553,0.409,-2.37,-1.042,port,sample,true,fictional_unit
P0554,0.396,2.36,-1.059,starboard,sample,true,fictional_unit
P0555,0.4,-2.439,-0.785,port,sample,true,fictional_unit
P0556,0.401,2.445,-0.782,starboard,gap-edge,true,fictional_unit
P0557,0.41,-2.479,-0.516,port,sample,true,fictional_unit
P0558,0.408,-2.509,-0.267,port,sample,true,fictional_unit
P0559,0.41,-2.507,0,port,sample,true,fictional_unit
P0560,0.414,-2.492,0.27,port,sample,true,fictional_unit
P0561,0.396,-2.435,0.518,port,sample,true,fictional_unit
P0562,0.412,-2.375,0.797,port,sample,true,fictional_unit
P0563,0.409,-2.265,1.039,port,sample,true,fictional_unit
P0564,0.395,2.265,1.053,starboard,gap-edge,true,fictional_unit
P0565,0.386,-2.123,1.304,port,sample,true,fictional_unit
P0566,0.389,2.129,1.307,starboard,sample,true,fictional_unit
P0567,0.402,-1.949,1.571,port,sample,true,fictional_unit
P0568,0.41,1.963,1.565,starboard,sample,true,fictional_unit
P0569,0.39,-1.742,1.832,port,sample,true,fictional_unit
P0570,0.408,1.735,1.835,starboard,sample,true,fictional_unit
P0571,0.403,-1.44,2.089,port,sample,true,fictional_unit
P0572,0.404,1.423,2.1,starboard,sample,true,fictional_unit
P0573,0.8,-1.705,-2.111,port,sample,true,fictional_unit
P0574,0.802,1.705,-2.099,starboard,sample,true,fictional_unit
P0575,0.801,-1.921,-1.849,port,sample,true,fictional_unit
P0576,0.793,1.926,-1.83,starboard,sample,true,fictional_unit
P0577,0.806,-2.099,-1.566,port,sample,true,fictional_unit
P0578,0.804,2.103,-1.573,starboard,sample,true,fictional_unit
P0579,0.808,-2.237,-1.322,port,sample,true,fictional_unit
P0580,0.79,2.244,-1.308,starboard,sample,true,fictional_unit
P0581,0.809,-2.339,-1.051,port,sample,true,fictional_unit
P0582,0.8,2.341,-1.059,starboard,sample,true,fictional_unit
P0583,0.797,-2.413,-0.788,port,sample,true,fictional_unit
P0584,0.794,2.42,-0.793,starboard,gap-edge,true,fictional_unit
P0585,0.811,-2.469,-0.516,port,sample,true,fictional_unit
P0586,0.793,-2.499,-0.268,port,sample,true,fictional_unit
P0587,0.795,-2.503,0,port,sample,true,fictional_unit
P0588,0.802,-2.484,0.252,port,sample,true,fictional_unit
P0589,0.802,-2.43,0.515,port,sample,true,fictional_unit
P0590,0.794,-2.351,0.782,port,sample,true,fictional_unit
P0591,0.8,-2.256,1.059,port,sample,true,fictional_unit
P0592,0.801,2.245,1.062,starboard,gap-edge,true,fictional_unit
P0593,0.808,-2.124,1.304,port,sample,true,fictional_unit
P0594,0.788,2.115,1.317,starboard,sample,true,fictional_unit
P0595,0.801,-1.952,1.575,port,sample,true,fictional_unit
P0596,0.806,1.953,1.571,starboard,sample,true,fictional_unit
P0597,0.791,-1.726,1.834,port,sample,true,fictional_unit
P0598,0.802,1.726,1.836,starboard,sample,true,fictional_unit
P0599,0.804,-1.424,2.108,port,sample,true,fictional_unit
P0600,0.807,1.426,2.103,starboard,sample,true,fictional_unit
P0601,1.186,-1.678,-2.107,port,sample,true,fictional_unit
P0602,1.201,1.689,-2.098,starboard,sample,true,fictional_unit
P0603,1.204,-1.906,-1.841,port,sample,true,fictional_unit
P0604,1.187,1.902,-1.828,starboard,sample,true,fictional_unit
P0605,1.204,-2.076,-1.587,port,sample,true,fictional_unit
P0606,1.201,2.091,-1.574,starboard,sample,true,fictional_unit
P0607,1.191,-2.226,-1.305,port,sample,true,fictional_unit
P0608,1.191,2.226,-1.304,starboard,sample,true,fictional_unit
P0609,1.199,-2.321,-1.044,port,sample,true,fictional_unit
P0610,1.211,2.33,-1.061,starboard,sample,true,fictional_unit
P0611,1.21,-2.405,-0.785,port,sample,true,fictional_unit
P0612,1.212,2.391,-0.779,starboard,gap-edge,true,fictional_unit
P0613,1.198,-2.437,-0.516,port,sample,true,fictional_unit
P0614,1.205,-2.463,-0.259,port,sample,true,fictional_unit
P0615,1.188,-2.475,0.01,port,sample,true,fictional_unit
P0616,1.206,-2.446,0.259,port,sample,true,fictional_unit
P0617,1.199,-2.395,0.519,port,sample,true,fictional_unit
P0618,1.186,-2.324,0.783,port,sample,true,fictional_unit
P0619,1.21,-2.222,1.052,port,sample,true,fictional_unit
P0620,1.205,2.225,1.059,starboard,gap-edge,true,fictional_unit
P0621,1.205,-2.094,1.303,port,sample,true,fictional_unit
P0622,1.197,2.101,1.321,starboard,sample,true,fictional_unit
P0623,1.203,-1.926,1.578,port,sample,true,fictional_unit
P0624,1.194,1.921,1.587,starboard,sample,true,fictional_unit
P0625,1.209,-1.709,1.843,port,sample,true,fictional_unit
P0626,1.196,1.699,1.839,starboard,sample,true,fictional_unit
P0627,1.206,-1.399,2.103,port,sample,true,fictional_unit
P0628,1.187,1.411,2.1,starboard,sample,true,fictional_unit
P0629,1.598,-1.656,-2.103,port,sample,true,fictional_unit
P0630,1.597,1.66,-2.11,starboard,sample,true,fictional_unit
P0631,1.586,-1.876,-1.838,port,sample,true,fictional_unit
P0632,1.608,1.872,-1.828,starboard,sample,true,fictional_unit
P0633,1.597,-2.054,-1.569,port,sample,true,fictional_unit
P0634,1.589,2.063,-1.571,starboard,sample,true,fictional_unit
P0635,1.611,-2.187,-1.317,port,sample,true,fictional_unit
P0636,1.608,2.185,-1.319,starboard,sample,true,fictional_unit
P0637,1.601,-2.289,-1.044,port,sample,true,fictional_unit
P0638,1.596,2.298,-1.042,starboard,sample,true,fictional_unit
P0639,1.593,-2.353,-0.788,port,sample,true,fictional_unit
P0640,1.591,2.367,-0.778,starboard,gap-edge,true,fictional_unit
P0641,1.596,-2.415,-0.516,port,sample,true,fictional_unit
P0642,1.591,-2.434,-0.253,port,sample,true,fictional_unit
P0643,1.595,-2.431,-0.011,port,sample,true,fictional_unit
P0644,1.611,-2.406,0.259,port,sample,true,fictional_unit
P0645,1.59,-2.375,0.523,port,sample,true,fictional_unit
P0646,1.594,-2.288,0.796,port,sample,true,fictional_unit
P0647,1.602,-2.206,1.061,port,sample,true,fictional_unit
P0648,1.591,2.195,1.05,starboard,gap-edge,true,fictional_unit
P0649,1.599,-2.072,1.311,port,sample,true,fictional_unit
P0650,1.594,2.072,1.311,starboard,sample,true,fictional_unit
P0651,1.603,-1.905,1.565,port,sample,true,fictional_unit
P0652,1.591,1.906,1.576,starboard,sample,true,fictional_unit
P0653,1.588,-1.688,1.836,port,sample,true,fictional_unit
P0654,1.607,1.677,1.827,starboard,sample,true,fictional_unit
P0655,1.593,-1.396,2.112,port,sample,true,fictional_unit
P0656,1.604,1.38,2.106,starboard,sample,true,fictional_unit
P0657,2.007,-1.622,-2.11,port,sample,true,fictional_unit
P0658,1.994,1.618,-2.103,starboard,sample,true,fictional_unit
P0659,1.992,-1.841,-1.838,port,sample,true,fictional_unit
P0660,2.013,1.852,-1.83,starboard,sample,true,fictional_unit
P0661,2.009,-2.023,-1.576,port,sample,true,fictional_unit
P0662,2.007,2.02,-1.563,starboard,sample,true,fictional_unit
P0663,1.994,-2.14,-1.314,port,sample,true,fictional_unit
P0664,2.006,2.14,-1.308,starboard,sample,true,fictional_unit
P0665,1.988,-2.246,-1.057,port,sample,true,fictional_unit
P0666,1.987,2.246,-1.051,starboard,sample,true,fictional_unit
P0667,1.995,-2.313,-0.781,port,sample,true,fictional_unit
P0668,1.987,2.317,-0.781,starboard,gap-edge,true,fictional_unit
P0669,1.996,-2.357,-0.524,port,sample,true,fictional_unit
P0670,2.009,-2.39,-0.263,port,sample,true,fictional_unit
P0671,2.013,-2.381,0.012,port,sample,true,fictional_unit
P0672,2.008,-2.368,0.268,port,sample,true,fictional_unit
P0673,1.99,-2.33,0.536,port,sample,true,fictional_unit
P0674,1.988,-2.259,0.799,port,sample,true,fictional_unit
P0675,2.008,-2.163,1.041,port,sample,true,fictional_unit
P0676,2.013,2.149,1.038,starboard,gap-edge,true,fictional_unit
P0677,1.988,-2.017,1.304,port,sample,true,fictional_unit
P0678,1.991,2.037,1.301,starboard,sample,true,fictional_unit
P0679,2.007,-1.862,1.568,port,sample,true,fictional_unit
P0680,1.988,1.859,1.578,starboard,sample,true,fictional_unit
P0681,1.987,-1.65,1.842,port,sample,true,fictional_unit
P0682,1.991,1.641,1.849,starboard,sample,true,fictional_unit
P0683,1.993,-1.352,2.109,port,sample,true,fictional_unit
P0684,1.998,1.364,2.09,starboard,sample,true,fictional_unit
P0685,2.392,-1.588,-2.111,port,sample,true,fictional_unit
P0686,2.393,1.577,-2.105,starboard,sample,true,fictional_unit
P0687,2.399,-1.793,-1.834,port,sample,true,fictional_unit
P0688,2.404,1.799,-1.848,starboard,sample,true,fictional_unit
P0689,2.391,-1.97,-1.572,port,sample,true,fictional_unit
P0690,2.412,1.96,-1.582,starboard,sample,true,fictional_unit
P0691,2.402,-2.087,-1.306,port,sample,true,fictional_unit
P0692,2.393,2.088,-1.302,starboard,sample,true,fictional_unit
P0693,2.399,-2.197,-1.058,port,sample,true,fictional_unit
P0694,2.41,2.182,-1.05,starboard,sample,true,fictional_unit
P0695,2.396,-2.266,-0.785,port,sample,true,fictional_unit
P0696,2.404,2.258,-0.776,starboard,gap-edge,true,fictional_unit
P0697,2.41,-2.311,-0.515,port,sample,true,fictional_unit
P0698,2.387,-2.336,-0.274,port,sample,true,fictional_unit
P0699,2.405,-2.331,0.002,port,sample,true,fictional_unit
P0700,2.397,-2.31,0.265,port,sample,true,fictional_unit
P0701,2.387,-2.264,0.53,port,sample,true,fictional_unit
P0702,2.388,-2.191,0.782,port,sample,true,fictional_unit
P0703,2.39,-2.107,1.041,port,sample,true,fictional_unit
P0704,2.389,2.1,1.056,starboard,gap-edge,true,fictional_unit
P0705,2.404,-1.968,1.321,port,sample,true,fictional_unit
P0706,2.389,1.973,1.322,starboard,sample,true,fictional_unit
P0707,2.387,-1.808,1.57,port,sample,true,fictional_unit
P0708,2.389,1.821,1.581,starboard,sample,true,fictional_unit
P0709,2.408,-1.601,1.842,port,sample,true,fictional_unit
P0710,2.402,1.601,1.844,starboard,sample,true,fictional_unit
P0711,2.398,-1.322,2.106,port,sample,true,fictional_unit
P0712,2.414,1.338,2.095,starboard,sample,true,fictional_unit
P0713,2.801,-1.536,-2.099,port,sample,true,fictional_unit
P0714,2.788,1.529,-2.089,starboard,sample,true,fictional_unit
P0715,2.797,-1.754,-1.84,port,sample,true,fictional_unit
P0716,2.797,1.74,-1.829,starboard,sample,true,fictional_unit
P0717,2.794,-1.906,-1.583,port,sample,true,fictional_unit
P0718,2.791,1.9,-1.578,starboard,sample,true,fictional_unit
P0719,2.809,-2.036,-1.311,port,sample,true,fictional_unit
P0720,2.813,2.028,-1.302,starboard,sample,true,fictional_unit
P0721,2.812,-2.133,-1.043,port,sample,true,fictional_unit
P0722,2.789,2.116,-1.049,starboard,sample,true,fictional_unit
P0723,2.799,-2.201,-0.796,port,sample,true,fictional_unit
P0724,2.803,2.189,-0.798,starboard,sample,true,fictional_unit
P0725,2.811,-2.228,-0.513,port,sample,true,fictional_unit
P0726,2.788,2.24,-0.515,starboard,sample,true,fictional_unit
P0727,2.795,-2.268,-0.273,port,sample,true,fictional_unit
P0728,2.813,2.265,-0.268,starboard,sample,true,fictional_unit
P0729,2.803,-2.265,0.001,port,sample,true,fictional_unit
P0730,2.795,2.268,0.004,starboard,sample,true,fictional_unit
P0731,2.811,-2.238,0.272,port,sample,true,fictional_unit
P0732,2.787,2.248,0.251,starboard,sample,true,fictional_unit
P0733,2.787,-2.202,0.521,port,sample,true,fictional_unit
P0734,2.797,2.202,0.536,starboard,sample,true,fictional_unit
P0735,2.788,-2.122,0.794,port,sample,true,fictional_unit
P0736,2.814,2.129,0.785,starboard,sample,true,fictional_unit
P0737,2.8,-2.042,1.052,port,sample,true,fictional_unit
P0738,2.804,2.03,1.062,starboard,sample,true,fictional_unit
P0739,2.809,-1.912,1.312,port,sample,true,fictional_unit
P0740,2.788,1.923,1.311,starboard,sample,true,fictional_unit
P0741,2.811,-1.754,1.574,port,sample,true,fictional_unit
P0742,2.803,1.755,1.576,starboard,sample,true,fictional_unit
P0743,2.802,-1.559,1.841,port,sample,true,fictional_unit
P0744,2.788,1.553,1.846,starboard,sample,true,fictional_unit
P0745,2.786,-1.29,2.11,port,sample,true,fictional_unit
P0746,2.792,1.293,2.101,starboard,sample,true,fictional_unit
P0747,3.202,-1.476,-2.1,port,sample,true,fictional_unit
P0748,3.198,1.488,-2.096,starboard,sample,true,fictional_unit
P0749,3.192,-1.689,-1.831,port,sample,true,fictional_unit
P0750,3.2,1.685,-1.835,starboard,sample,true,fictional_unit
P0751,3.193,-1.825,-1.582,port,sample,true,fictional_unit
P0752,3.199,1.841,-1.585,starboard,sample,true,fictional_unit
P0753,3.201,-1.95,-1.324,port,sample,true,fictional_unit
P0754,3.187,1.955,-1.305,starboard,sample,true,fictional_unit
P0755,3.19,-2.051,-1.043,port,sample,true,fictional_unit
P0756,3.195,2.048,-1.038,starboard,sample,true,fictional_unit
P0757,3.206,-2.103,-0.793,port,sample,true,fictional_unit
P0758,3.198,2.106,-0.789,starboard,sample,true,fictional_unit
P0759,3.212,-2.144,-0.521,port,sample,true,fictional_unit
P0760,3.193,2.161,-0.53,starboard,sample,true,fictional_unit
P0761,3.21,-2.175,-0.251,port,sample,true,fictional_unit
P0762,3.201,2.183,-0.274,starboard,sample,true,fictional_unit
P0763,3.213,-2.165,-0.012,port,sample,true,fictional_unit
P0764,3.193,2.175,0.001,starboard,sample,true,fictional_unit
P0765,3.21,-2.15,0.254,port,sample,true,fictional_unit
P0766,3.202,2.162,0.269,starboard,sample,true,fictional_unit
P0767,3.199,-2.11,0.515,port,sample,true,fictional_unit
P0768,3.197,2.109,0.52,starboard,sample,true,fictional_unit
P0769,3.19,-2.057,0.776,port,sample,true,fictional_unit
P0770,3.199,2.056,0.779,starboard,sample,true,fictional_unit
P0771,3.206,-1.971,1.039,port,sample,true,fictional_unit
P0772,3.208,1.953,1.05,starboard,sample,true,fictional_unit
P0773,3.212,-1.852,1.322,port,sample,true,fictional_unit
P0774,3.213,1.847,1.315,starboard,sample,true,fictional_unit
P0775,3.203,-1.691,1.575,port,sample,true,fictional_unit
P0776,3.188,1.696,1.582,starboard,sample,true,fictional_unit
P0777,3.203,-1.503,1.828,port,sample,true,fictional_unit
P0778,3.198,1.509,1.826,starboard,sample,true,fictional_unit
P0779,3.201,-1.247,2.111,port,sample,true,fictional_unit
P0780,3.194,1.239,2.093,starboard,sample,true,fictional_unit
P0781,3.61,-1.411,-2.096,port,sample,true,fictional_unit
P0782,3.598,1.409,-2.093,starboard,sample,true,fictional_unit
P0783,3.595,-1.606,-1.845,port,sample,true,fictional_unit
P0784,3.601,1.611,-1.832,starboard,sample,true,fictional_unit
P0785,3.608,-1.747,-1.576,port,sample,true,fictional_unit
P0786,3.586,1.746,-1.586,starboard,sample,true,fictional_unit
P0787,3.592,-1.864,-1.301,port,sample,true,fictional_unit
P0788,3.595,1.872,-1.309,starboard,sample,true,fictional_unit
P0789,3.613,-1.945,-1.048,port,sample,true,fictional_unit
P0790,3.614,1.94,-1.053,starboard,sample,true,fictional_unit
P0791,3.604,-2.013,-0.777,port,sample,true,fictional_unit
P0792,3.598,2.01,-0.796,starboard,sample,true,fictional_unit
P0793,3.607,-2.052,-0.522,port,sample,true,fictional_unit
P0794,3.592,2.056,-0.519,starboard,sample,true,fictional_unit
P0795,3.605,-2.064,-0.256,port,sample,true,fictional_unit
P0796,3.593,2.07,-0.266,starboard,sample,true,fictional_unit
P0797,3.598,-2.074,-0.006,port,sample,true,fictional_unit
P0798,3.613,2.068,-0.003,starboard,sample,true,fictional_unit
P0799,3.59,-2.051,0.252,port,sample,true,fictional_unit
P0800,3.588,2.057,0.258,starboard,sample,true,fictional_unit
P0801,3.61,-2.025,0.536,port,sample,true,fictional_unit
P0802,3.603,2.017,0.524,starboard,sample,true,fictional_unit
P0803,3.59,-1.957,0.789,port,sample,true,fictional_unit
P0804,3.593,1.955,0.791,starboard,sample,true,fictional_unit
P0805,3.603,-1.871,1.043,port,sample,true,fictional_unit
P0806,3.59,1.872,1.047,starboard,sample,true,fictional_unit
P0807,3.589,-1.761,1.323,port,sample,true,fictional_unit
P0808,3.602,1.765,1.324,starboard,sample,true,fictional_unit
P0809,3.594,-1.626,1.569,port,sample,true,fictional_unit
P0810,3.588,1.607,1.565,starboard,sample,true,fictional_unit
P0811,3.613,-1.424,1.838,port,sample,true,fictional_unit
P0812,3.598,1.439,1.837,starboard,sample,true,fictional_unit
P0813,3.595,-1.185,2.091,port,sample,true,fictional_unit
P0814,3.605,1.176,2.09,starboard,sample,true,fictional_unit
P0815,4.001,-1.338,-2.091,port,sample,true,fictional_unit
P0816,3.993,1.333,-2.091,starboard,sample,true,fictional_unit
P0817,4.005,-1.513,-1.841,port,sample,true,fictional_unit
P0818,4.014,1.517,-1.849,starboard,sample,true,fictional_unit
P0819,4.006,-1.652,-1.578,port,sample,true,fictional_unit
P0820,3.994,1.652,-1.585,starboard,sample,true,fictional_unit
P0821,4.012,-1.753,-1.316,port,sample,true,fictional_unit
P0822,4.014,1.763,-1.309,starboard,sample,true,fictional_unit
P0823,4.004,-1.839,-1.046,port,sample,true,fictional_unit
P0824,3.992,1.834,-1.061,starboard,sample,true,fictional_unit
P0825,4.002,-1.902,-0.794,port,sample,true,fictional_unit
P0826,3.988,1.904,-0.777,starboard,sample,true,fictional_unit
P0827,4.001,-1.937,-0.531,port,sample,true,fictional_unit
P0828,4.002,1.938,-0.536,starboard,sample,true,fictional_unit
P0829,4.013,-1.958,-0.268,port,sample,true,fictional_unit
P0830,3.99,1.954,-0.273,starboard,sample,true,fictional_unit
P0831,3.993,-1.956,0,port,sample,true,fictional_unit
P0832,4.006,1.965,0.01,starboard,sample,true,fictional_unit
P0833,4.009,-1.929,0.267,port,sample,true,fictional_unit
P0834,4.006,1.944,0.27,starboard,sample,true,fictional_unit
P0835,4.004,-1.893,0.516,port,sample,true,fictional_unit
P0836,4.005,1.901,0.536,starboard,sample,true,fictional_unit
P0837,3.991,-1.837,0.788,port,sample,true,fictional_unit
P0838,3.997,1.836,0.798,starboard,sample,true,fictional_unit
P0839,3.99,-1.764,1.046,port,sample,true,fictional_unit
P0840,3.992,1.762,1.039,starboard,sample,true,fictional_unit
P0841,3.986,-1.657,1.314,port,sample,true,fictional_unit
P0842,4.008,1.652,1.308,starboard,sample,true,fictional_unit
P0843,3.991,-1.514,1.566,port,sample,true,fictional_unit
P0844,3.992,1.526,1.567,starboard,sample,true,fictional_unit
P0845,3.989,-1.349,1.84,port,sample,true,fictional_unit
P0846,3.986,1.355,1.842,starboard,sample,true,fictional_unit
P0847,3.994,-1.12,2.111,port,sample,true,fictional_unit
P0848,4.013,1.123,2.105,starboard,sample,true,fictional_unit
P0849,4.405,-1.236,-2.094,port,sample,true,fictional_unit
P0850,4.391,1.231,-2.108,starboard,sample,true,fictional_unit
P0851,4.387,-1.407,-1.848,port,sample,true,fictional_unit
P0852,4.397,1.41,-1.834,starboard,sample,true,fictional_unit
P0853,4.398,-1.536,-1.586,port,sample,true,fictional_unit
P0854,4.396,1.53,-1.565,starboard,sample,true,fictional_unit
P0855,4.386,-1.629,-1.307,port,sample,true,fictional_unit
